序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来
1	160125	南方香港优选	9月9日	0.8671	0.9571	-0.16%	4.99%	2.25%	11.25%	13.18%	-2.52%	-23.99%	-14.58%	-4.60%	-5.71%
2	378006	上投摩根全球	9月12日	0.825	0.825	-3.17%	4.93%	3.78%	9.09%	13.15%	9.51%	-16.88%	-1.96%	5.19%	-14.80%
3	118001	易方达亚洲精	9月12日	0.755	0.755	-3.21%	4.70%	5.98%	10.33%	19.82%	13.70%	-7.14%	-3.70%	-1.52%	-22.00%
4	519709	交银全球资源	9月12日	1.198	1.221	-2.92%	4.67%	4.75%	9.40%	15.22%	5.56%	-1.44%	10.47%	8.06%	25.71%
5	040021	华安大中华升	9月12日	1.23	1.23	-3.15%	4.18%	7.17%	11.21%	20.15%	12.99%	-4.15%	27.77%	6.10%	27.00%
6	040018	华安香港精选	9月12日	1.129	1.129	-3.01%	3.93%	7.48%	11.92%	19.63%	9.91%	-2.35%	25.70%	4.58%	16.40%
7	519602	海富通大中华	9月12日	0.888	0.888	-2.95%	3.39%	6.89%	12.68%	26.56%	19.92%	-1.29%	9.58%	8.28%	-8.50%
8	160216	国泰商品	9月12日	0.41	0.41	0.74%	3.30%	4.63%	-14.32%	5.44%	-22.48%	-49.88%	-53.70%	-1.45%	-59.30%
9	470888	汇添富香港混	9月12日	0.997	1.027	-2.16%	3.24%	6.81%	11.61%	16.86%	-3.14%	-6.68%	2.23%	0.39%	4.72%
10	070012	嘉实海外中国	9月12日	0.677	0.677	-2.31%	3.13%	8.28%	17.06%	23.09%	15.31%	-0.86%	13.05%	9.65%	-30.70%
11	050015	博时大中华亚	9月12日	0.999	1.081	-2.63%	3.12%	3.43%	9.85%	16.46%	3.95%	-17.50%	2.27%	1.38%	9.96%
12	100061	富国中国中小	9月12日	1.778	1.778	-2.63%	2.87%	6.04%	11.14%	21.17%	5.00%	1.22%	30.71%	0.88%	82.60%
13	460010	华泰柏瑞亚洲	9月12日	0.788	0.788	-2.84%	2.66%	3.97%	7.70%	11.10%	12.17%	-8.05%	-2.87%	2.53%	-18.90%
14	457001	国富亚洲机会	9月12日	0.849	0.849	-1.96%	2.61%	9.76%	14.40%	19.94%	14.70%	-22.19%	-10.35%	4.21%	-13.40%
15	501018	南方原油	9月9日	0.9412	0.9412	-2.55%	2.50%	4.45%	---	---	---	---	---	---	-5.88%
16	162411	华宝标普石油	9月12日	0.638	0.638	1.43%	2.41%	6.51%	4.42%	30.74%	12.52%	-46.02%	-40.98%	28.89%	-36.20%
17	001117	中欧精选定期	9月9日	0.777	0.777	---	2.37%	4.30%	1.04%	15.97%	-3.72%	---	---	-24.85%	-22.30%
18	519601	海富通中国海	9月12日	1.399	1.669	-2.58%	2.35%	5.82%	9.79%	21.28%	12.19%	-5.59%	5.90%	2.72%	76.08%
19	164908	交银中证环境	9月12日	1.018	1.018	-2.21%	2.31%	10.41%	12.74%	27.09%	1.09%	---	---	-10.70%	1.80%
20	161815	银华抗通胀主	9月12日	0.449	0.449	-0.66%	2.26%	1.35%	-4.03%	6.10%	-4.84%	-41.22%	-43.57%	4.63%	-54.80%
21	161210	国投瑞银新兴	9月12日	0.891	0.891	-1.98%	2.25%	7.57%	14.63%	25.90%	13.20%	-6.96%	-1.52%	9.78%	-9.10%
22	160121	南方金砖四国	9月9日	0.872	0.892	-0.68%	2.23%	5.83%	12.52%	24.93%	19.29%	-2.46%	10.94%	21.62%	-11.09%
23	161229	国投瑞银中国	9月12日	1.175	1.225	-2.00%	2.13%	7.53%	13.65%	22.10%	---	---	---	25.88%	25.88%
24	270023	广发全球精选	9月12日	1.558	1.658	-2.07%	2.12%	4.46%	9.72%	15.71%	10.66%	11.09%	46.26%	6.09%	70.83%
25	000934	国富大中华精	9月12日	0.965	0.965	-2.03%	1.97%	7.89%	18.11%	26.12%	23.90%	---	---	11.43%	-1.50%
26	161714	招商标普金砖	9月12日	0.804	0.804	-1.23%	1.88%	7.25%	15.63%	25.04%	19.88%	-6.54%	5.99%	18.66%	-18.60%
27	000904	银华回报灵活	9月9日	0.894	1.214	---	1.71%	1.82%	3.11%	10.92%	-10.38%	---	---	-20.46%	14.29%
28	160135	南方中证高铁	9月12日	1.0074	0.5725	-1.60%	1.63%	4.56%	3.22%	5.11%	-13.51%	---	---	-21.59%	-42.75%
29	160639	鹏华高铁分级	9月13日	0.749	0.461	0.13%	1.63%	4.23%	2.45%	3.54%	-12.73%	---	---	-23.24%	-53.95%
30	206006	鹏华环球发现	9月12日	0.977	0.977	-1.01%	1.54%	3.89%	8.70%	12.54%	3.68%	-6.00%	6.70%	-5.28%	-1.30%
31	502030	中海中证高铁	9月13日	1.005	0.674	0.20%	1.52%	3.83%	1.98%	2.39%	-15.75%	---	---	-22.60%	-33.36%
32	164820	工银中证高铁	9月13日	1.0161	0.6241	0.17%	1.51%	3.93%	1.77%	2.82%	-17.43%	---	---	-17.83%	-37.84%
33	165510	信诚金砖四国	9月12日	0.734	0.734	-0.94%	1.51%	2.92%	9.78%	20.10%	9.78%	-15.89%	-5.96%	12.10%	-25.90%
34	000263	工银信息产业	9月13日	1.745	2.022	0.40%	1.40%	8.56%	8.37%	19.67%	10.25%	45.97%	---	-23.50%	103.19%
35	262001	景顺长城大中	9月12日	1.273	1.283	-2.45%	1.40%	2.43%	8.03%	18.10%	18.21%	-7.84%	3.41%	11.63%	31.64%
36	377016	上投摩根亚太	9月12日	0.619	0.619	-2.21%	1.28%	2.10%	10.66%	18.10%	14.47%	2.43%	13.24%	11.84%	-36.70%
37	160919	大成产业升级	9月13日	1.141	3.127	-0.09%	1.24%	4.20%	6.43%	12.73%	-0.52%	---	---	-22.15%	7.83%
38	000527	南方新优享	9月12日	1.929	1.929	-0.67%	1.21%	5.99%	11.57%	31.49%	35.85%	83.71%	---	2.33%	92.90%
39	001975	景顺长城环保	9月13日	1.187	1.187	0.51%	1.20%	7.07%	13.67%	---	---	---	---	---	18.10%
40	270022	广发内需增长	9月13日	0.863	0.963	1.17%	1.19%	4.41%	5.70%	27.89%	9.50%	33.91%	13.13%	-9.64%	-6.65%
41	001053	南方创新经济	9月12日	0.987	0.987	-0.70%	1.13%	5.45%	9.55%	27.35%	22.15%	---	---	-3.71%	-1.30%
42	000985	嘉实逆向策略	9月12日	1.078	1.078	-1.91%	1.13%	1.22%	7.58%	17.69%	7.05%	---	---	-9.79%	7.80%
43	070027	嘉实周期优选	9月12日	1.943	2.003	-1.92%	1.04%	0.94%	6.76%	16.21%	2.86%	40.80%	71.64%	-12.08%	105.61%
44	200006	长城消费增值	9月13日	0.973	2.413	-1.18%	1.02%	5.14%	3.63%	24.15%	23.99%	18.21%	22.05%	-7.88%	202.33%
45	519191	万家新利灵活	9月13日	1.0597	1.1813	-0.20%	1.00%	3.37%	16.37%	24.10%	4.92%	16.64%	---	3.99%	19.20%
46	373020	上投双核平衡	9月13日	1.6054	2.0501	-0.90%	1.00%	5.41%	4.33%	18.52%	9.21%	50.88%	53.23%	-9.81%	122.11%
47	160416	华安标普石油	9月12日	0.922	0.962	0.33%	0.99%	2.68%	2.45%	16.04%	14.88%	-21.18%	-11.80%	17.67%	-4.49%
48	002230	华夏大中华混	9月12日	1.207	1.207	-2.11%	0.98%	6.85%	15.13%	24.04%	---	---	---	---	23.30%
49	001728	银华战略新兴	9月9日	0.945	0.945	---	0.96%	1.94%	3.05%	3.85%	-5.50%	---	---	-6.62%	-5.50%
50	165525	信诚中证基建	9月13日	1.076	1.084	-0.09%	0.94%	4.77%	8.90%	7.92%	8.60%	---	---	9.01%	8.60%
51	233001	大摩基础行业	9月13日	0.8976	2.4426	0.16%	0.92%	5.03%	11.86%	28.78%	33.26%	75.59%	107.74%	1.70%	140.00%
52	002849	金信智能中国	9月12日	0.991	0.991	-1.00%	0.92%	0.81%	---	---	---	---	---	---	-0.90%
53	000970	东方红睿元混	9月9日	1.491	1.491	---	0.88%	1.43%	9.96%	17.12%	24.67%	---	---	1.84%	49.10%
54	090001	大成价值增长	9月13日	0.9731	3.9318	-0.26%	0.86%	2.69%	9.99%	20.91%	20.54%	78.64%	88.02%	-0.05%	675.91%
55	200011	长城景气行业	9月13日	1.214	1.239	-0.65%	0.83%	2.35%	-2.63%	0.58%	-7.63%	9.01%	16.49%	-25.62%	24.90%
56	002803	东方红沪港深	9月9日	1.014	1.014	---	0.80%	1.10%	---	---	---	---	---	---	1.40%
57	080006	长盛环球行业	9月12日	1.101	1.151	-2.48%	0.73%	1.66%	7.10%	15.17%	6.69%	-0.18%	14.69%	0.55%	15.35%
58	000285	富安达信用纯	9月13日	1.1334	1.1334	0.08%	0.73%	1.13%	3.91%	-1.22%	-13.06%	5.11%	---	-13.56%	13.25%
59	000284	富安达信用纯	9月13日	1.1475	1.1475	0.09%	0.73%	1.16%	4.00%	-1.04%	-12.73%	5.92%	---	-13.33%	14.65%
60	519066	汇添富蓝筹稳	9月13日	1.821	2.631	0.17%	0.72%	0.78%	6.01%	14.85%	21.37%	90.94%	88.33%	-2.70%	211.12%
61	233011	大摩主题优选	9月13日	2.111	2.343	0.14%	0.72%	4.05%	11.48%	26.99%	37.16%	76.00%	121.72%	-3.04%	133.03%
62	620008	金元顺安新经	9月13日	1.131	1.131	-0.35%	0.71%	2.90%	5.29%	9.87%	-9.63%	-0.70%	1.70%	-27.57%	13.50%
63	519727	交银成长30	9月13日	1.435	1.435	0.99%	0.71%	3.20%	5.73%	16.00%	7.90%	30.25%	40.97%	-15.16%	42.10%
64	257030	国联安优势混	9月13日	1.294	1.87	1.17%	0.71%	1.75%	6.32%	24.17%	26.79%	51.34%	57.17%	-6.57%	110.52%
65	519773	交银数据产业	9月9日	0.995	0.995	---	0.71%	---	---	---	---	---	---	---	-0.50%
66	002858	长信富平纯债	9月9日	1.0086	1.0086	---	0.70%	---	---	---	---	---	---	---	0.86%
67	160916	大成优选混合	9月13日	2.192	1.726	0.14%	0.69%	1.58%	5.85%	23.67%	18.01%	78.26%	83.64%	-4.91%	118.90%
68	002859	长信富平纯债	9月9日	1.0083	1.0083	---	0.69%	---	---	---	---	---	---	---	0.83%
69	169104	东方红睿满沪	9月9日	1.027	1.027	---	0.69%	1.28%	---	---	---	---	---	---	2.70%
70	378546	上投摩根全球	9月12日	0.589	0.589	0.00%	0.68%	-1.34%	6.13%	22.96%	20.70%	-29.38%	-25.44%	30.02%	-41.10%
71	200015	长城优化升级	9月13日	1.619	1.734	-0.98%	0.68%	4.27%	3.88%	30.38%	46.64%	60.93%	37.63%	-10.56%	82.97%
72	233006	大摩领先优势	9月13日	1.9443	1.9443	0.19%	0.63%	3.94%	11.28%	25.91%	26.30%	64.16%	74.77%	-1.16%	94.07%
73	590005	中邮核心主题	9月13日	1.763	1.923	0.34%	0.63%	5.34%	8.52%	16.98%	15.67%	45.81%	106.22%	-26.15%	102.98%
74	202801	南方全球精选	9月9日	0.812	0.812	-0.73%	0.62%	0.87%	4.91%	11.54%	1.12%	1.63%	12.62%	1.50%	-18.80%
75	163208	诺安油气能源	9月12日	0.889	0.889	1.25%	0.57%	2.69%	1.62%	18.81%	13.88%	-24.83%	-15.66%	18.97%	-12.20%
76	519732	交银定期支付	9月13日	1.942	1.942	-0.10%	0.57%	2.15%	4.63%	20.00%	25.91%	70.68%	94.40%	-6.36%	94.40%
77	001635	万家瑞益灵活	9月13日	1.0623	1.0623	-0.13%	0.56%	1.66%	6.74%	7.73%	---	---	---	6.27%	6.37%
78	002189	农银汇理国企	9月13日	1.0187	1.0187	-0.15%	0.55%	2.33%	2.02%	---	---	---	---	---	2.02%
79	160719	嘉实黄金	9月12日	0.751	0.751	0.00%	0.54%	-0.66%	6.22%	7.29%	21.72%	10.77%	-0.92%	25.17%	-24.90%
80	100051	富国可转换债	9月13日	1.517	1.517	-0.20%	0.53%	1.13%	4.04%	4.68%	-4.76%	69.08%	61.53%	-6.46%	52.00%
81	169105	东方红睿华沪	9月9日	1.0038	1.0038	---	0.52%	0.41%	---	---	---	---	---	---	0.38%
82	001714	工银文体产业	9月13日	1.169	1.169	0.09%	0.52%	2.19%	9.67%	20.16%	---	---	---	16.92%	16.80%
83	002860	前海开源沪港	9月9日	1.005	1.005	---	0.50%	---	---	---	---	---	---	---	0.50%
84	001760	嘉实创新成长	9月12日	1.009	1.009	-0.49%	0.50%	1.20%	3.28%	2.75%	---	---	---	---	0.90%
85	002746	汇添富多策略	9月9日	1.018	1.018	---	0.49%	0.39%	1.80%	---	---	---	---	---	1.80%
86	260101	景顺长城优选	9月13日	2.2525	4.2832	0.49%	0.49%	4.37%	8.71%	28.01%	22.11%	54.04%	66.78%	-6.07%	710.35%
87	001636	万家瑞益灵活	9月13日	1.0541	1.0541	-0.13%	0.49%	1.52%	6.56%	7.35%	---	---	---	5.47%	5.55%
88	519034	海富通中证内	9月13日	1.467	1.467	-0.47%	0.48%	2.50%	6.73%	16.61%	3.88%	12.69%	26.09%	-12.83%	47.40%
89	590006	中邮中小盘配	9月13日	1.957	1.957	-0.10%	0.46%	3.21%	3.16%	18.94%	17.52%	59.01%	108.85%	-17.45%	95.90%
90	121001	国投瑞银融华	9月13日	1.7514	3.1544	0.77%	0.44%	3.19%	6.53%	14.62%	13.71%	31.91%	44.62%	1.22%	417.34%
91	000175	汇添富高息债	9月13日	1.373	1.373	0.00%	0.44%	1.03%	2.85%	1.55%	3.16%	23.69%	35.40%	-0.79%	37.30%
92	000242	景顺长城策略	9月13日	1.394	1.574	0.43%	0.43%	1.31%	5.23%	15.19%	14.71%	31.94%	54.57%	-0.86%	63.85%
93	000174	汇添富高息债	9月13日	1.393	1.393	0.00%	0.43%	1.02%	3.03%	1.75%	3.57%	24.82%	37.24%	-0.50%	39.30%
94	160212	国泰估值优势	9月13日	2.375	2.375	0.21%	0.42%	5.43%	8.92%	42.69%	68.68%	132.13%	176.55%	8.92%	137.00%
95	000218	国泰黄金ET	9月13日	1.0902	1.0902	-0.07%	0.42%	0.13%	7.56%	---	---	---	---	---	9.10%
96	000778	鹏华先进制造	9月13日	1.437	1.437	0.07%	0.42%	1.77%	8.13%	26.30%	25.74%	---	---	-6.57%	43.60%
97	202023	南方优选成长	9月12日	1.968	1.968	-1.16%	0.41%	0.51%	3.14%	13.23%	18.27%	70.24%	95.04%	-2.57%	96.80%
98	000401	中融增鑫定期	9月9日	1.236	1.236	---	0.41%	0.41%	2.66%	2.15%	3.95%	16.82%	---	1.15%	23.60%
99	519993	长信增利动态	9月13日	1.1594	2.6184	0.93%	0.40%	3.12%	5.82%	15.89%	19.29%	74.82%	94.69%	-13.23%	230.09%
100	000400	中融增鑫定期	9月9日	1.249	1.249	---	0.40%	0.40%	2.71%	2.29%	4.34%	17.72%	---	1.46%	24.90%
101	001667	南方转型混合	9月9日	1.001	1.001	---	0.40%	---	---	---	---	---	---	---	0.10%
102	161116	易方达黄金主	9月12日	0.761	0.761	0.00%	0.40%	-0.78%	6.28%	7.33%	21.57%	12.57%	2.01%	24.96%	-23.90%
103	000103	国泰中国企业	9月9日	1.293	1.293	0.15%	0.39%	0.23%	4.11%	9.30%	16.49%	20.50%	30.47%	10.23%	29.30%
104	002307	银华多元视野	9月13日	1.041	1.041	0.10%	0.39%	1.27%	3.59%	---	---	---	---	---	4.00%
105	686868	浙商聚盈信用	9月13日	1.041	1.196	-0.10%	0.39%	0.22%	1.41%	0.98%	3.42%	9.87%	14.60%	2.45%	19.76%
106	660010	农银策略精选	9月13日	0.8431	0.8431	0.02%	0.38%	2.78%	8.78%	31.60%	10.59%	-9.69%	-15.77%	-6.73%	-15.71%
107	001645	国泰大健康股	9月13日	1.329	1.329	0.00%	0.38%	4.89%	10.66%	33.17%	---	---	---	---	32.90%
108	630003	华商增强债券	9月13日	1.342	1.867	0.07%	0.37%	0.75%	3.63%	3.31%	7.71%	32.69%	50.03%	3.23%	102.89%
109	002963	易方达黄金E	9月13日	1.0217	1.0217	-0.08%	0.37%	-0.02%	---	---	---	---	---	---	-0.19%
110	000307	易方达黄金E	9月13日	1.0224	1.0224	-0.08%	0.37%	0.02%	1.98%	---	---	---	---	---	2.32%
111	000217	华安黄金易E	9月13日	1.0615	1.0615	-0.10%	0.37%	-0.19%	7.74%	7.77%	24.28%	16.77%	7.88%	27.41%	6.26%
112	000216	华安黄金易E	9月13日	1.0645	1.0645	-0.09%	0.37%	-0.17%	7.75%	7.74%	24.33%	16.58%	8.17%	27.30%	6.55%
113	320013	诺安全球黄金	9月12日	0.846	0.931	0.12%	0.36%	-0.70%	6.29%	7.37%	21.93%	11.18%	-0.35%	25.37%	-8.55%
114	000936	博时产业新动	9月13日	1.175	1.175	0.69%	0.34%	1.74%	6.19%	20.31%	5.52%	---	---	-15.19%	16.70%
115	700003	平安大华策略	9月13日	1.767	1.867	0.17%	0.34%	1.97%	-0.68%	9.63%	13.00%	53.26%	63.94%	-25.35%	93.01%
116	161625	融通标普中国	9月13日	0.883	0.993	0.00%	0.34%	0.91%	4.13%	-1.34%	-11.88%	-4.91%	-7.05%	-11.79%	-5.00%
117	590003	中邮核心优势	9月13日	2.071	2.251	0.19%	0.34%	0.39%	1.37%	26.73%	27.91%	62.37%	106.91%	-1.19%	143.55%
118	161624	融通标普中国	9月13日	0.889	0.999	0.00%	0.34%	0.91%	4.22%	-1.22%	-11.63%	-4.87%	-6.64%	-11.63%	-4.40%
119	519939	长信海外收益	9月8日	1.0491	1.0491	---	0.33%	0.77%	5.39%	---	---	---	---	---	4.91%
120	001245	工银生态环境	9月13日	0.902	0.902	-0.11%	0.33%	3.44%	6.74%	19.60%	3.44%	---	---	-13.17%	-9.70%
121	161605	融通蓝筹成长	9月13日	1.22	2.863	-0.49%	0.33%	0.91%	0.25%	9.86%	4.24%	40.83%	55.88%	-13.79%	329.98%
122	519019	大成景阳领先	9月13日	0.939	4.077	0.11%	0.32%	-0.21%	4.69%	21.03%	21.19%	55.33%	52.03%	-1.57%	7.32%
123	002400	南方亚洲美元	9月9日	1.0721	1.0721	0.08%	0.32%	0.60%	4.40%	7.21%	---	---	---	---	7.21%
124	164701	汇添富黄金及	9月12日	0.65	0.65	0.15%	0.31%	-0.76%	5.70%	7.63%	21.31%	-1.22%	-10.61%	25.53%	-35.10%
125	161826	银华中证转债	9月13日	0.98	1.152	0.00%	0.31%	0.82%	4.70%	0.41%	-7.29%	-9.82%	-7.36%	-9.59%	-3.75%
126	630103	华商增强债券	9月13日	1.316	1.822	0.08%	0.31%	0.69%	3.54%	3.06%	7.26%	31.54%	48.08%	2.90%	96.22%
127	160130	南方永利1年	9月12日	0.999	1.465	-0.89%	0.30%	1.42%	6.62%	6.73%	10.88%	29.73%	46.64%	1.94%	48.55%
128	161719	招商可转债分	9月13日	1.002	1.428	0.00%	0.30%	1.11%	4.59%	0.91%	-1.13%	31.90%	---	-8.58%	34.02%
129	002401	南方亚洲美元	9月9日	1.0695	1.0695	0.07%	0.30%	0.55%	4.29%	6.95%	---	---	---	---	6.95%
130	090015	大成内需增长	9月13日	2.315	2.315	-1.07%	0.30%	3.86%	8.18%	23.09%	24.67%	72.69%	107.45%	-11.66%	134.00%
131	519069	汇添富价值精	9月13日	2.365	3.241	0.08%	0.30%	2.25%	7.95%	17.33%	16.60%	95.66%	100.14%	-4.53%	314.36%
132	001739	中融融安二号	9月13日	1.034	1.034	0.10%	0.29%	0.49%	2.68%	2.28%	---	---	---	0.88%	3.30%
133	002160	南方驱动混合	9月12日	1.039	1.039	-0.76%	0.29%	1.17%	4.11%	---	---	---	---	---	3.90%
134	070033	嘉实增强收益	9月12日	1.041	1.292	0.00%	0.29%	0.58%	2.95%	2.83%	6.25%	20.80%	28.78%	3.92%	32.61%
135	000630	圆信永丰纯债	9月13日	1.056	1.226	0.00%	0.28%	0.86%	3.63%	3.23%	6.44%	20.26%	---	3.75%	23.15%
136	150154	中海惠丰纯债	9月13日	1.068	1.33	-0.28%	0.28%	0.56%	6.46%	3.58%	7.10%	28.12%	35.17%	4.08%	35.17%
137	001531	招商安益保本	9月13日	1.071	1.071	-0.09%	0.28%	0.75%	3.68%	4.48%	6.88%	---	---	4.28%	7.20%
138	253060	国联安信心增	9月13日	1.086	1.233	0.00%	0.28%	0.74%	2.26%	2.94%	3.33%	13.72%	13.88%	0.23%	24.52%
139	160211	国泰中小盘成	9月13日	2.908	3.472	0.28%	0.28%	5.38%	8.98%	42.02%	61.20%	108.63%	158.24%	8.17%	190.00%
140	002142	博时外延增长	9月13日	1.104	1.104	0.36%	0.27%	1.29%	6.90%	14.70%	---	---	---	---	10.00%
141	160638	鹏华一带一路	9月13日	0.731	0.487	-0.41%	0.27%	2.11%	7.28%	8.19%	-14.39%	---	---	-17.89%	-51.09%
142	001564	东方红京东大	9月13日	1.121	1.121	0.27%	0.27%	0.00%	8.44%	18.81%	13.39%	---	---	2.57%	11.80%
143	000473	广发集鑫债券	9月13日	1.119	1.148	0.00%	0.27%	0.72%	1.82%	4.19%	0.63%	9.29%	---	-1.58%	14.98%
144	000788	前海开源中国	9月13日	1.138	1.218	-0.26%	0.26%	1.51%	2.52%	16.91%	4.97%	---	---	-7.24%	22.95%
145	000552	中加纯债一年	9月9日	1.143	1.315	---	0.26%	1.33%	3.72%	4.84%	10.65%	26.87%	---	6.08%	33.09%
146	210006	金鹰保本混合	9月13日	1.15	1.3	0.00%	0.26%	0.70%	2.13%	3.70%	3.14%	12.86%	16.76%	0.09%	29.95%
147	050016	博时宏观债券	9月13日	1.156	1.207	0.00%	0.26%	-0.34%	0.70%	1.49%	5.67%	11.91%	9.02%	-5.86%	20.78%
148	070016	嘉实多元债券	9月12日	1.162	1.551	-0.43%	0.26%	0.61%	2.37%	4.53%	5.83%	20.74%	24.95%	-0.37%	65.40%
149	070015	嘉实多元债券	9月12日	1.168	1.584	-0.34%	0.26%	0.69%	2.53%	4.77%	6.25%	21.54%	26.15%	-0.11%	69.92%
150	002610	博时黄金ET	9月13日	1.014	1.014	-0.10%	0.26%	-0.24%	1.42%	---	---	---	---	---	1.50%
151	000274	广发亚太中高	9月12日	1.181	1.251	0.17%	0.26%	-0.25%	3.79%	7.77%	18.81%	19.60%	---	8.53%	25.46%
152	000536	前海开源可转	9月13日	0.791	1.161	0.13%	0.25%	0.51%	3.67%	6.47%	1.54%	3.14%	---	-9.92%	12.83%
153	519111	浦银安盛优化	9月13日	1.587	1.597	0.00%	0.25%	0.19%	2.06%	3.12%	7.09%	21.05%	29.02%	3.59%	60.23%
154	001616	嘉实环保低碳	9月12日	1.196	1.196	-1.81%	0.25%	1.96%	0.67%	28.74%	---	---	---	19.60%	19.60%
155	000290	鹏华全球高收	9月12日	1.2	1.345	0.00%	0.25%	1.18%	5.63%	10.58%	18.18%	24.99%	---	10.39%	36.12%
156	519662	银河岁岁回报	9月13日	1.611	1.611	0.00%	0.25%	0.88%	3.87%	4.27%	8.34%	41.44%	60.94%	5.29%	61.10%
157	002611	博时黄金ET	9月13日	1.012	1.012	-0.10%	0.25%	-0.27%	1.32%	---	---	---	---	---	1.30%
158	001766	上投摩根医疗	9月13日	0.84	0.84	0.48%	0.24%	0.84%	6.23%	14.68%	---	---	---	-17.47%	-16.40%
159	519124	浦银季季添利	9月9日	1.262	1.262	---	0.24%	0.88%	2.69%	3.02%	6.23%	17.07%	25.32%	3.27%	26.20%
160	240018	华宝可转债	9月13日	1.01	1.01	0.02%	0.24%	0.86%	3.64%	-4.56%	-13.94%	1.10%	-7.46%	-13.98%	0.98%
161	519123	浦银季季添利	9月9日	1.276	1.276	---	0.24%	0.95%	2.82%	3.24%	6.60%	17.82%	26.71%	3.57%	27.60%
162	001073	华泰柏瑞量化	9月13日	1.0198	1.0198	-0.12%	0.24%	-0.08%	1.24%	1.30%	2.26%	---	---	1.43%	2.10%
163	160718	嘉实多利分级	9月12日	1.0239	1.2832	-0.33%	0.24%	0.51%	2.18%	5.10%	7.22%	21.15%	25.49%	0.93%	32.66%
164	470059	汇添富可转换	9月13日	1.316	1.386	0.15%	0.23%	1.08%	4.29%	2.50%	2.26%	19.04%	28.96%	-7.20%	39.28%
165	163411	兴全保本	9月13日	1.2855	1.4922	0.09%	0.23%	1.08%	4.65%	5.68%	10.36%	28.42%	35.65%	3.03%	49.08%
166	080009	长盛同禧信增	9月13日	1.338	1.338	0.38%	0.23%	0.15%	1.60%	-0.74%	-0.07%	29.29%	38.71%	-1.77%	33.30%
167	470058	汇添富可转换	9月13日	1.343	1.413	0.15%	0.22%	1.13%	4.36%	2.76%	2.68%	19.75%	30.41%	-6.94%	42.02%
168	161911	万家强化收益	9月13日	1.039	1.286	0.01%	0.22%	0.13%	0.90%	1.74%	4.10%	18.03%	28.65%	2.67%	30.83%
169	000214	广发成长优选	9月13日	1.368	1.368	0.22%	0.22%	0.15%	1.79%	2.25%	4.84%	20.05%	---	1.34%	36.50%
170	161015	富国天盈债券	9月13日	0.915	1.55	0.00%	0.22%	0.44%	2.58%	2.69%	4.57%	17.71%	34.06%	3.27%	55.41%
171	090020	大成健康产业	9月13日	0.931	0.931	-0.64%	0.21%	3.08%	3.65%	11.42%	-2.19%	-11.02%	-13.40%	-24.68%	-6.30%
172	183001	银华全球优选	9月12日	0.939	0.939	0.21%	0.21%	1.41%	5.64%	13.58%	11.95%	7.70%	19.52%	7.09%	-6.30%
173	165513	信诚全球商品	9月12日	0.474	0.474	0.64%	0.21%	1.95%	-5.23%	6.32%	-6.36%	-39.54%	-41.42%	5.84%	-52.90%
174	160627	鹏华策略优选	9月13日	1.417	1.151	-0.07%	0.21%	1.50%	8.00%	21.82%	17.77%	32.28%	---	-8.75%	41.80%
175	001691	南方香港成长	9月9日	0.949	0.949	-0.11%	0.21%	-2.16%	8.46%	10.09%	---	---	---	-4.81%	-5.10%
176	001490	汇添富国企创	9月13日	0.963	0.963	0.00%	0.21%	0.73%	4.00%	19.18%	6.64%	---	---	-13.55%	-3.70%
177	000127	农银行业领先	9月13日	1.8338	1.8338	0.00%	0.21%	2.69%	7.92%	29.66%	36.99%	61.77%	81.60%	-7.71%	83.38%
178	165809	东吴转债	9月13日	0.966	0.912	0.10%	0.21%	0.73%	3.99%	-0.92%	-12.15%	-23.46%	---	-9.91%	-19.17%
179	519943	长信富泰纯债	9月9日	1.0163	1.0163	---	0.21%	1.71%	---	---	---	---	---	---	1.63%
180	090013	大成竞争优势	9月13日	1.966	1.976	0.05%	0.20%	-0.35%	4.52%	21.45%	18.02%	63.48%	87.32%	-0.81%	98.39%
181	160132	南方永利C	9月12日	0.993	1.452	-0.90%	0.20%	1.22%	6.43%	6.43%	10.33%	28.66%	---	1.53%	43.57%
182	000676	中海惠祥分级	9月13日	1.001	1.205	-0.10%	0.20%	0.70%	7.52%	5.00%	8.59%	21.00%	---	5.18%	20.64%
183	002970	博时裕昂纯债	9月13日	1.012	1.012	0.00%	0.20%	1.00%	---	---	---	---	---	---	1.20%
184	161019	富国新天锋定	9月13日	1.013	1.369	0.00%	0.20%	0.20%	2.29%	3.52%	6.08%	18.11%	27.26%	3.83%	43.52%
185	519942	长信富泰纯债	9月9日	1.0158	1.0158	---	0.20%	1.68%	---	---	---	---	---	---	1.58%
186	000845	国投瑞银信息	9月13日	1.532	1.632	0.26%	0.20%	2.00%	5.38%	14.03%	20.03%	---	---	0.13%	67.61%
187	002568	博时裕发纯债	9月13日	1.019	1.019	0.00%	0.20%	0.30%	1.70%	---	---	---	---	---	1.90%
188	000594	大摩进取优选	9月13日	1.533	1.533	0.33%	0.20%	0.92%	2.62%	13.69%	5.45%	37.53%	---	-17.18%	52.80%
189	121009	国投瑞银稳定	9月13日	1.1232	1.6892	-0.01%	0.20%	0.48%	2.46%	2.56%	5.97%	29.07%	36.48%	2.45%	87.28%
