序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来
1185	001362	景顺长城领先	9月13日	1.066	1.066	0.00%	-0.09%	0.28%	3.80%	4.20%	6.71%	---	---	4.51%	6.60%
1186	000296	鹏华丰实定期	9月13日	1.065	1.296	-0.09%	-0.09%	0.28%	3.50%	3.58%	7.05%	24.99%	32.53%	5.58%	32.53%
1187	001157	国联安睿祺灵	9月13日	1.066	1.066	0.09%	-0.09%	-0.19%	1.82%	2.80%	5.03%	---	---	2.21%	6.50%
1188	164702	汇添富季季红	9月13日	1.061	1.361	0.00%	-0.09%	0.57%	4.49%	4.98%	10.93%	26.06%	33.58%	6.97%	40.93%
1189	001183	南方利淘A	9月12日	1.059	1.059	-0.19%	-0.09%	0.19%	1.83%	3.12%	5.27%	---	---	3.42%	5.90%
1190	001334	南方利鑫A	9月12日	1.058	1.058	-0.09%	-0.09%	0.19%	1.54%	2.42%	4.34%	---	---	2.62%	5.80%
1191	100050	富国全球债券	9月12日	1.057	1.057	0.09%	-0.09%	0.38%	3.02%	7.10%	8.09%	7.98%	13.55%	8.42%	5.60%
1192	001752	华商信用增强	9月13日	1.055	1.055	0.00%	-0.09%	0.38%	2.23%	3.94%	5.50%	---	---	3.94%	5.50%
1193	002279	浙商惠盈纯债	9月13日	1.061	1.074	0.66%	-0.09%	-0.09%	4.05%	4.11%	---	---	---	6.71%	6.71%
1194	000672	工银绝对收益	9月13日	1.054	1.054	0.00%	-0.09%	-0.38%	-0.57%	-0.94%	-3.57%	4.67%	---	-4.27%	5.40%
1195	550019	信诚优质纯债	9月13日	1.055	1.32	0.19%	-0.09%	-0.09%	3.13%	3.03%	6.64%	27.84%	32.59%	3.44%	33.12%
1196	001466	华富永鑫灵活	9月13日	1.051	1.051	-0.10%	-0.09%	0.00%	2.73%	2.73%	4.06%	---	---	3.24%	5.20%
1197	400016	东方强化收益	9月13日	1.0515	1.3315	0.00%	-0.10%	0.32%	1.82%	1.94%	4.68%	25.73%	29.95%	3.11%	34.01%
1198	000398	华富灵活配置	9月13日	1.051	1.276	0.00%	-0.10%	0.38%	1.16%	1.06%	1.86%	23.40%	---	1.42%	28.95%
1199	001798	泰康新回报灵	9月13日	1.05	1.05	0.00%	-0.10%	-0.38%	2.34%	3.65%	---	---	---	4.27%	5.00%
1200	001687	安信新动力混	9月13日	1.05	1.05	0.00%	-0.10%	0.19%	3.35%	3.75%	---	---	---	4.79%	5.00%
1201	001499	国投瑞银新增	9月13日	1.051	1.068	0.00%	-0.10%	0.10%	2.24%	3.55%	6.45%	---	---	4.16%	7.09%
1202	001119	国投瑞银新回	9月13日	1.05	1.053	0.00%	-0.10%	0.19%	0.86%	0.96%	0.75%	---	---	-2.52%	5.28%
1203	001254	泰达宏利新起	9月13日	1.049	1.049	0.00%	-0.10%	0.19%	0.96%	1.55%	2.74%	---	---	2.04%	4.90%
1204	673040	西部利得行业	9月13日	1.049	1.049	0.00%	-0.10%	0.67%	3.76%	4.90%	---	---	---	---	4.90%
1205	002361	国富恒瑞债券	9月13日	1.049	1.049	0.10%	-0.10%	0.38%	2.85%	4.80%	---	---	---	---	4.80%
1206	002228	长城新优选混	9月13日	1.046	1.046	-0.10%	-0.10%	0.19%	1.45%	---	---	---	---	---	4.70%
1207	161230	国投瑞银双债	9月13日	1.045	1.048	-0.10%	-0.10%	0.48%	2.75%	4.08%	---	---	---	---	4.91%
1208	519725	交银双轮C	9月12日	1.046	1.19	-0.19%	-0.10%	-0.19%	1.15%	0.86%	4.18%	12.13%	19.20%	1.73%	20.04%
1209	000086	南方稳利1年	9月12日	1.045	1.266	-0.10%	-0.10%	-0.74%	5.52%	5.21%	10.39%	18.02%	28.49%	5.83%	29.26%
1210	001418	泰达宏利创益	9月13日	1.045	1.045	0.00%	-0.10%	0.10%	2.15%	2.65%	4.08%	---	---	3.36%	4.50%
1211	001841	招商丰享混合	9月13日	1.045	1.045	0.00%	-0.10%	0.10%	1.55%	4.19%	---	---	---	4.29%	4.50%
1212	001247	华泰柏瑞新利	9月13日	1.044	1.044	0.04%	-0.10%	-0.16%	2.11%	1.51%	3.77%	---	---	1.21%	4.36%
1213	001359	国联安添鑫灵	9月13日	1.045	1.045	0.10%	-0.10%	0.00%	0.97%	2.65%	4.92%	---	---	2.86%	4.40%
1214	519752	交银新回报灵	9月12日	1.044	1.044	-0.10%	-0.10%	0.00%	0.87%	1.56%	3.88%	---	---	1.75%	4.40%
1215	002015	南方荣光A	9月12日	1.043	1.043	-0.19%	-0.10%	0.58%	3.47%	5.25%	---	---	---	4.30%	4.30%
1216	161231	国投瑞银双债	9月13日	1.042	1.045	-0.10%	-0.10%	0.48%	2.66%	3.78%	---	---	---	---	4.61%
1217	002810	金信转型创新	9月12日	1.042	1.042	-0.19%	-0.10%	0.29%	4.20%	---	---	---	---	---	4.20%
